         171 -0.833756983     -0.686601996     -0.499740005     -0.401535988     -0.131706998      -7.33100027E-02   5.36839581       6.14200211       6.54192495       7.04291677       7.36042023       7.51852989       7.76111221    
         172 -0.837737024     -0.690542996     -0.496888012     -0.400723010     -0.131109998      -7.10640028E-02   5.32372522       6.15989399       6.54516315       7.05080223       7.34043503       7.51430082       7.86734486    
         173 -0.841668010     -0.694437981     -0.493910998     -0.399897993     -0.130477995      -6.85269982E-02   5.27972603       6.17803621       6.54186201       7.05852318       7.33519983       7.54521990       7.85075283    
         174 -0.845546007     -0.698279023     -0.490817010     -0.399064988     -0.129820004      -6.56699985E-02   5.23536301       6.19622898       6.54272604       7.06510592       7.34426117       7.55203819       7.80291700    
         175 -0.849367976     -0.702059984     -0.487619013     -0.398227006     -0.129150003      -6.24690019E-02   5.19160986       6.21462297       6.54343987       7.07310295       7.35268688       7.55606079       7.81373501    
         176 -0.853129983     -0.705769002     -0.484320998     -0.397383004     -0.128472000      -5.88900000E-02   5.14701796       6.23296213       6.54386806       7.08026886       7.38678217       7.59343815       7.96964693    
         177 -0.856831014     -0.709405005     -0.480937988     -0.396539003     -0.127795994      -5.49149998E-02   5.10389280       6.25151682       6.54431200       7.08621883       7.35632515       7.57451391       7.79979181    
         178 -0.860467017     -0.712957978     -0.477486998     -0.395696014     -0.127138004      -5.05120009E-02   5.05971479       6.26978397       6.54392195       7.09893608       7.37875223       7.57491302       7.83326101    
         179 -0.864035010     -0.716423988     -0.473982990     -0.394858003     -0.126498997      -4.56710011E-02   5.01737785       6.28826284       6.54499102       7.09934998       7.38614988       7.60485697       7.82579994    
         180 -0.867532015     -0.719797015     -0.470443010     -0.394024998     -0.125889003      -4.03730012E-02   4.97429895       6.30727482       6.54921198       7.10615015       7.39833879       7.71444702       8.04499435    
         181 -0.870956004     -0.723070979     -0.466883987     -0.393200010     -0.125312001      -3.46070006E-02   4.93244314       6.32510424       6.54653215       7.11240816       7.43025303       7.62160778       7.86862516    
         182 -0.874306023     -0.726242006     -0.463324994     -0.392385989     -0.124771997      -2.83679999E-02   4.89066887       6.34366512       6.54623890       7.11714888       7.40038919       7.72603607       7.79872084    
         183 -0.877575994     -0.729305983     -0.459782004     -0.391582996     -0.124270998      -2.16569994E-02   4.84935904       6.36195803       6.54833221       7.12197685       7.41449308       7.65467882       7.87648010    
         184 -0.880765021     -0.732259989     -0.456272990     -0.390792012     -0.123806000      -1.44830002E-02   4.80907297       6.37998295       6.55026484       7.12718391       7.52956676       7.67534494       7.85627079    
         185 -0.883871019     -0.735098004     -0.452814013     -0.390013993     -0.123379000      -6.84500020E-03   4.76940107       6.39803410       6.54930019       7.13171291       7.42343283       7.72394991       7.90458584    
         186 -0.886891007     -0.737821996     -0.449427009     -0.389252990     -0.122991003       1.22400001E-03   4.73068094       6.41556215       6.55149221       7.13614607       7.45194578       7.76799917       7.93714094    
         187 -0.889824986     -0.740427017     -0.446123987     -0.388509989     -0.122639000       9.70199984E-03   4.69173479       6.43286324       6.55271482       7.13873816       7.43052483       7.84161901       7.79828691    
         188 -0.892669976     -0.742914021     -0.442918003     -0.387787998     -0.122322001       1.85589995E-02   4.65458012       6.44987488       6.55375719       7.14106989       7.45093679       7.86350393       7.87071991    
         189 -0.895421982     -0.745280027     -0.439826995     -0.387082011     -0.122033998       2.77580004E-02   4.61800003       6.46525812       6.55641603       7.14409304       7.43059778       7.74727201       7.94439077    
         190 -0.898083985     -0.747525990     -0.436854005     -0.386397004     -0.121777996       3.72559987E-02   4.58193779       6.48002815       6.56016922       7.14831495       7.45369720       7.81174278       7.96766090    
