"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"59","-13.384599999999999","2.0","-13.356599999999998","2.0","-13.358099999999999","2.0","-13.4139","2.0","-13.4138","2.0","-13.3555","2.0","-13.400799999999998","2.0","-13.388399999999999","2.0","-13.393899999999999","2.0","-13.381599999999999","2.0","-13.377099999999999","2.0","-13.393899999999999","2.0","-13.381599999999999","2.0","-13.3772","2.0"
"60","-13.3113","2.0","-13.2843","2.0","-13.2888","2.0","-13.339599999999999","2.0","-13.339599999999999","2.0","-13.352699999999999","2.0","-13.328999999999999","2.0","-13.325299999999999","2.0","-13.330699999999998","2.0","-13.3675","2.0","-13.359399999999999","2.0","-13.330699999999998","2.0","-13.3675","2.0","-13.359399999999999","2.0"
"61","-13.234","2.0","-13.280899999999999","2.0","-13.269499999999999","2.0","-13.2484","2.0","-13.2484","2.0","-13.2768","2.0","-13.3133","2.0","-13.3196","2.0","-13.3134","2.0","-13.310699999999999","2.0","-13.313899999999999","2.0","-13.3135","2.0","-13.310599999999999","2.0","-13.313899999999999","2.0"
"62","-13.2099","2.0","-13.232099999999999","2.0","-13.2059","2.0","-13.2157","2.0","-13.2157","2.0","-13.2625","2.0","-13.2531","2.0","-13.2652","2.0","-13.268199999999998","2.0","-13.2991","2.0","-13.304699999999999","2.0","-13.268099999999999","2.0","-13.2991","2.0","-13.304699999999999","2.0"
"63","-13.199399999999999","2.0","-13.1938","2.0","-13.186","2.0","-13.1838","2.0","-13.1837","2.0","-13.2204","2.0","-13.238999999999999","2.0","-13.2522","2.0","-13.256599999999999","2.0","-13.2801","2.0","-13.2854","2.0","-13.256599999999999","2.0","-13.2801","2.0","-13.2854","2.0"
"64","-13.1776","2.0","-13.1829","2.0","-13.1771","2.0","-13.1793","2.0","-13.1793","2.0","-13.1923","2.0","-13.218","2.0","-13.2031","2.0","-13.2165","2.0","-13.2441","2.0","-13.238","2.0","-13.2165","2.0","-13.2441","2.0","-13.2381","2.0"
"65","-13.1463","2.0","-13.130199999999999","2.0","-13.158","2.0","-13.141499999999999","2.0","-13.141499999999999","2.0","-13.042","2.0","-13.044599999999999","2.0","-13.0452","2.0","-13.0407","2.0","-13.040099999999999","2.0","-13.0353","2.0","-13.0406","2.0","-13.04","2.0","-13.0353","2.0"
"66","-13.0476","2.0","-13.078299999999999","2.0","-13.134799999999998","2.0","-13.117099999999999","2.0","-13.117199999999999","2.0","-13.04","2.0","-13.036999999999999","2.0","-13.0359","2.0","-13.0339","2.0","-13.030899999999999","2.0","-13.0352","2.0","-13.0339","2.0","-13.030899999999999","2.0","-13.035","2.0"
"67","-13.0369","2.0","-13.0369","2.0","-13.040199999999999","2.0","-13.0794","2.0","-13.0794","2.0","-13.0316","2.0","-13.0243","2.0","-13.0323","2.0","-12.9948","2.0","-12.9965","2.0","-13.0002","2.0","-12.9947","2.0","-12.9964","2.0","-13.0002","2.0"
"68","-13.0275","2.0","-13.0344","2.0","-13.0306","2.0","-13.066899999999999","2.0","-13.066799999999999","2.0","-13.015899999999998","2.0","-13.023299999999999","2.0","-13.0155","2.0","-12.9727","2.0","-12.9812","2.0","-12.9824","2.0","-12.9727","2.0","-12.9813","2.0","-12.9824","2.0"
"69","-13.011299999999999","2.0","-13.0223","2.0","-12.9521","2.0","-12.9492","2.0","-12.9492","2.0","-13.0019","2.0","-12.9923","2.0","-12.9972","2.0","-12.9618","2.0","-12.968499999999999","2.0","-12.972399999999999","2.0","-12.9618","2.0","-12.968599999999999","2.0","-12.972399999999999","2.0"
"70","-13.006499999999999","2.0","-13.0117","2.0","-12.94","2.0","-12.9431","2.0","-12.9431","2.0","-12.937399999999998","2.0","-12.9689","2.0","-12.966999999999999","2.0","-12.9581","2.0","-12.9672","2.0","-12.963099999999999","2.0","-12.9582","2.0","-12.9672","2.0","-12.963199999999999","2.0"
"71","-12.8194","2.0","-12.803799999999999","2.0","-12.840399999999999","2.0","-12.8393","2.0","-12.8393","2.0","-12.8631","2.0","-12.860999999999999","2.0","-12.8593","2.0","-12.8868","2.0","-12.8849","2.0","-12.884699999999999","2.0","-12.8867","2.0","-12.884799999999998","2.0","-12.884699999999999","2.0"
"72","-12.805","2.0","-12.8011","2.0","-12.8346","2.0","-12.836599999999999","2.0","-12.836699999999999","2.0","-12.837499999999999","2.0","-12.850499999999998","2.0","-12.8506","2.0","-12.8698","2.0","-12.878499999999999","2.0","-12.8772","2.0","-12.8698","2.0","-12.878499999999999","2.0","-12.877099999999999","2.0"
"73","-12.796299999999999","2.0","-12.800699999999999","2.0","-12.750399999999999","2.0","-12.733899999999998","2.0","-12.7341","2.0","-12.752799999999999","2.0","-12.759699999999999","2.0","-12.7556","2.0","-12.7487","2.0","-12.719999999999999","2.0","-12.7325","2.0","-12.7487","2.0","-12.720099999999999","2.0","-12.7324","2.0"
"74","-12.75","2.0","-12.7614","2.0","-12.749799999999999","2.0","-12.7234","2.0","-12.723199999999999","2.0","-12.7488","2.0","-12.734599999999999","2.0","-12.7408","2.0","-12.7477","2.0","-12.717799999999999","2.0","-12.705599999999999","2.0","-12.7477","2.0","-12.717799999999999","2.0","-12.705499999999999","2.0"
"75","-12.7494","2.0","-12.707799999999999","2.0","-12.746599999999999","2.0","-12.704799999999999","2.0","-12.704799999999999","2.0","-12.7486","2.0","-12.727699999999999","2.0","-12.7097","2.0","-12.7471","2.0","-12.7074","2.0","-12.7007","2.0","-12.7471","2.0","-12.7073","2.0","-12.700899999999999","2.0"
"76","-12.7488","2.0","-12.6885","2.0","-12.742099999999999","2.0","-12.696","2.0","-12.696","2.0","-12.7471","2.0","-12.6844","2.0","-12.6839","2.0","-12.7439","2.0","-12.6966","2.0","-12.6932","2.0","-12.7439","2.0","-12.696499999999999","2.0","-12.6932","2.0"
"77","-12.739999999999998","2.0","-12.681099999999999","2.0","-12.7166","2.0","-12.693499999999998","2.0","-12.693399999999999","2.0","-12.7424","2.0","-12.6815","2.0","-12.681799999999999","2.0","-12.6893","2.0","-12.691699999999999","2.0","-12.6886","2.0","-12.6893","2.0","-12.691699999999999","2.0","-12.688699999999999","2.0"
"78","-12.6175","2.0","-12.6436","2.0","-12.606","2.0","-12.634699999999999","2.0","-12.634599999999999","2.0","-12.6563","2.0","-12.666799999999999","2.0","-12.681","2.0","-12.6335","2.0","-12.6503","2.0","-12.661299999999999","2.0","-12.6335","2.0","-12.6503","2.0","-12.661299999999999","2.0"
"79","-12.5574","2.0","-12.5953","2.0","-12.6002","2.0","-12.626","2.0","-12.6261","2.0","-12.5564","2.0","-12.5923","2.0","-12.594","2.0","-12.594899999999999","2.0","-12.6245","2.0","-12.6204","2.0","-12.594899999999999","2.0","-12.6246","2.0","-12.6204","2.0"
"80","-12.5567","2.0","-12.5916","2.0","-12.5762","2.0","-12.611099999999999","2.0","-12.6112","2.0","-12.5558","2.0","-12.591299999999999","2.0","-12.5902","2.0","-12.583","2.0","-12.612699999999998","2.0","-12.6174","2.0","-12.583","2.0","-12.612699999999998","2.0","-12.6174","2.0"
"81","-10.486699999999999","2.0","-10.484","2.0","-10.460899999999999","2.0","-10.459999999999999","2.0","-10.459999999999999","2.0","-10.486099999999999","2.0","-10.4834","2.0","-10.4835","2.0","-10.459999999999999","2.0","-10.4596","2.0","-10.4588","2.0","-10.459999999999999","2.0","-10.4596","2.0","-10.4589","2.0"
"82","-10.4843","2.0","-10.481599999999998","2.0","-10.4573","2.0","-10.458","2.0","-10.458","2.0","-10.4849","2.0","-10.482299999999999","2.0","-10.482199999999999","2.0","-10.4582","2.0","-10.4574","2.0","-10.4581","2.0","-10.4582","2.0","-10.4573","2.0","-10.4581","2.0"
"83","-10.4758","2.0","-10.4786","2.0","-10.4569","2.0","-10.456999999999999","2.0","-10.456999999999999","2.0","-10.475299999999999","2.0","-10.4781","2.0","-10.478","2.0","-10.456399999999999","2.0","-10.457099999999999","2.0","-10.457799999999999","2.0","-10.456399999999999","2.0","-10.457199999999998","2.0","-10.457799999999999","2.0"
